Block,X,Y,Z,Rotate,cx,cy,cz
RoadTechStart,16,1,21,None,528.0,12.0,688.0
RoadTechStraight,16,1,22,None,528.0,12.0,720.0
RoadTechStraight,16,1,23,None,528.0,12.0,752.0
RoadTechStraight,16,1,24,None,528.0,12.0,784.0
RoadTechCurve1,16,1,25,Right,528.0,12.0,816.0
RoadTechStraight,15,1,25,None,496.0,12.0,816.0
RoadTechStraight,14,1,25,None,464.0,12.0,816.0
RoadTechCurve1,13,1,25,Left,432.0,12.0,816.0
RoadTechStraight,13,1,26,None,432.0,12.0,848.0
RoadTechStraight,13,1,27,None,432.0,12.0,880.0
RoadTechCurve1,13,1,28,Left,432.0,12.0,912.0
RoadTechStraight,14,1,28,None,464.0,12.0,912.0
RoadTechStraight,15,1,28,None,496.0,12.0,912.0
RoadTechFinish,16,1,28,None,528.0,12.0,912.0
